NAME;NAME_LEN;BLURB_LEN;USD;PLEDGED;GOAL;SUCCESS_RATE;STATE;CATEGORY;SPOTLIGHT;STAFF_PICKED;CURR_TRAILING;BACKERS;START_YEAR;DAYS;;
oilfield wastewater purification back to drinking water 1to1;60;133;1;561;25000;0,02244;failed;Hardware;False;False;True;3;2016;15;;
AlarmCast App;13;135;1;0;50000;0;failed;Software;False;False;True;0;2016;60;;
Phil'sFabLab;12;124;0;381,4426467;31126,62548;0,012254545;failed;Makerspaces;False;False;False;10;2016;30;;
Knocki: Make Any Surface Smart;30;107;1;1144399,78;35000;32,69713657;successful;Gadgets;True;True;True;8897;2016;45,75719907;;
PartyTerminal;13;84;1;0;50000;0;failed;Web;False;False;True;0;2016;30;;
FORM Lifting: Revolutionize the way you train;45;128;1;108359;100000;1,08359;successful;Hardware;True;False;True;491;2016;30;;
Opto - Virtual Reality for the living room;42;109;0;62456,38839;56962,368;1,09645;successful;Wearables;True;True;False;451;2016;30;;
TruSlope: A golf ball marker that reads the green for you!!;59;131;1;3552;25000;0,14208;failed;Gadgets;False;False;True;45;2016;45;;
ModuBanks - Modular USB Power Banks (First Funding);51;118;0;76,234271;190585,6775;0,0004;failed;Gadgets;False;False;True;2;2016;60;;
The Badjo Suit;14;131;1;3123;80000;0,0390375;failed;Hardware;False;False;True;16;2016;31;;
Blubel: the cycling navigator powered by community wisdom;57;118;0;52203,23029;43076,7111;1,211866667;successful;Hardware;True;True;False;411;2016;30;;
LUCY - Your digital butler;26;121;0;166084,9074;56170,3085;2,9568096;successful;Gadgets;True;False;False;333;2016;30;;
Hydra - Your Plant Care Companion!;34;88;0;21535,94114;40439,63;0,532545455;failed;Gadgets;False;True;True;187;2016;31;;
Faraday Cortland;16;129;1;187821;100000;1,87821;successful;Hardware;True;True;True;126;2016;24,09883102;;
'The Float Lodge' - Duluth's First Premiere Float Center;56;129;1;1072;25000;0,04288;failed;Spaces;False;False;True;13;2016;49,1121875;;
SURESHIFTER;11;134;1;125;75000;0,001666667;failed;Gadgets;False;False;True;2;2016;30;;
Whoa Board: Dream With Touch Sensing EL Wire, Panels, Paint;59;135;1;26857;25000;1,07428;successful;Hardware;True;True;True;307;2016;34;;
SERBID;6;127;0;15,7413501;58467,8718;0,000269231;failed;Apps;False;False;True;2;2016;60;;
TabletHookz - Create your own seatback entertainment;52;117;0;2092,922824;31295,57425;0,066876;failed;Gadgets;False;False;False;79;2016;30;;
Smart Shoot-Intelligent Shooting Robot;38;132;1;2541;80000;0,0317625;failed;Robots;False;False;True;36;2016;60;;
Kite;4;121;0;6,33910405;38034,6243;0,000166667;failed;Web;False;False;False;1;2016;30;;
Spün - Calorie-Counting, Nutrition Tracking Utensils (Spun);60;137;1;144453;150000;0,96302;failed;Gadgets;False;False;True;159;2016;30;;
EKOOR Beacons: Add Proximity Intelligence to your Smart Home;60;130;0;16523,18476;25168,0506;0,656514286;failed;Hardware;False;False;True;77;2016;40;;
The Yabo: a network for any music lover;39;101;0;66,9530772;44635,3848;0,0015;failed;Web;False;False;False;2;2016;30;;
recSMART - The First Connected & Social Dashcam;47;103;0;67394,27773;111391,818;0,60502;failed;Hardware;False;False;False;98;2016;30;;
Idea hub;8;134;1;10;35800;0,00027933;failed;Web;False;False;True;1;2016;30;;
Teach Learn Educate Inform. Knowledge & Research Simplified.;60;135;1;10790;70000;0,154142857;failed;Web;False;False;True;43;2016;30;;
Vi. The First True Artificial Intelligence Personal Trainer;59;133;1;1688179,6;100000;16,881796;successful;Wearables;True;True;True;7257;2016;48,56024306;;
